full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-07-23,20160723,2016,3,Q3 2016,7,July,2016-07,29,23,6,Saturday,1,0
2016-07-24,20160724,2016,3,Q3 2016,7,July,2016-07,29,24,7,Sunday,1,0
2016-07-25,20160725,2016,3,Q3 2016,7,July,2016-07,30,25,1,Monday,0,0
2016-07-26,20160726,2016,3,Q3 2016,7,July,2016-07,30,26,2,Tuesday,0,0
2016-07-27,20160727,2016,3,Q3 2016,7,July,2016-07,30,27,3,Wednesday,0,0
2016-07-28,20160728,2016,3,Q3 2016,7,July,2016-07,30,28,4,Thursday,0,0
2016-07-29,20160729,2016,3,Q3 2016,7,July,2016-07,30,29,5,Friday,0,0
2016-07-30,20160730,2016,3,Q3 2016,7,July,2016-07,30,30,6,Saturday,1,0
2016-07-31,20160731,2016,3,Q3 2016,7,July,2016-07,30,31,7,Sunday,1,1
2016-08-01,20160801,2016,3,Q3 2016,8,August,2016-08,31,1,1,Monday,0,0
2016-08-02,20160802,2016,3,Q3 2016,8,August,2016-08,31,2,2,Tuesday,0,0
2016-08-03,20160803,2016,3,Q3 2016,8,August,2016-08,31,3,3,Wednesday,0,0
2016-08-04,20160804,2016,3,Q3 2016,8,August,2016-08,31,4,4,Thursday,0,0
2016-08-05,20160805,2016,3,Q3 2016,8,August,2016-08,31,5,5,Friday,0,0
2016-08-06,20160806,2016,3,Q3 2016,8,August,2016-08,31,6,6,Saturday,1,0
2016-08-07,20160807,2016,3,Q3 2016,8,August,2016-08,31,7,7,Sunday,1,0
2016-08-08,20160808,2016,3,Q3 2016,8,August,2016-08,32,8,1,Monday,0,0
2016-08-09,20160809,2016,3,Q3 2016,8,August,2016-08,32,9,2,Tuesday,0,0
2016-08-10,20160810,2016,3,Q3 2016,8,August,2016-08,32,10,3,Wednesday,0,0
2016-08-11,20160811,2016,3,Q3 2016,8,August,2016-08,32,11,4,Thursday,0,0
2016-08-12,20160812,2016,3,Q3 2016,8,August,2016-08,32,12,5,Friday,0,0
2016-08-13,20160813,2016,3,Q3 2016,8,August,2016-08,32,13,6,Saturday,1,0
2016-08-14,20160814,2016,3,Q3 2016,8,August,2016-08,32,14,7,Sunday,1,0
2016-08-15,20160815,2016,3,Q3 2016,8,August,2016-08,33,15,1,Monday,0,0
2016-08-16,20160816,2016,3,Q3 2016,8,August,2016-08,33,16,2,Tuesday,0,0
2016-08-17,20160817,2016,3,Q3 2016,8,August,2016-08,33,17,3,Wednesday,0,0
2016-08-18,20160818,2016,3,Q3 2016,8,August,2016-08,33,18,4,Thursday,0,0
2016-08-19,20160819,2016,3,Q3 2016,8,August,2016-08,33,19,5,Friday,0,0
2016-08-20,20160820,2016,3,Q3 2016,8,August,2016-08,33,20,6,Saturday,1,0
2016-08-21,20160821,2016,3,Q3 2016,8,August,2016-08,33,21,7,Sunday,1,0
2016-08-22,20160822,2016,3,Q3 2016,8,August,2016-08,34,22,1,Monday,0,0
2016-08-23,20160823,2016,3,Q3 2016,8,August,2016-08,34,23,2,Tuesday,0,0
2016-08-24,20160824,2016,3,Q3 2016,8,August,2016-08,34,24,3,Wednesday,0,0
2016-08-25,20160825,2016,3,Q3 2016,8,August,2016-08,34,25,4,Thursday,0,0
2016-08-26,20160826,2016,3,Q3 2016,8,August,2016-08,34,26,5,Friday,0,0
2016-08-27,20160827,2016,3,Q3 2016,8,August,2016-08,34,27,6,Saturday,1,0
2016-08-28,20160828,2016,3,Q3 2016,8,August,2016-08,34,28,7,Sunday,1,0
2016-08-29,20160829,2016,3,Q3 2016,8,August,2016-08,35,29,1,Monday,0,0
2016-08-30,20160830,2016,3,Q3 2016,8,August,2016-08,35,30,2,Tuesday,0,0
2016-08-31,20160831,2016,3,Q3 2016,8,August,2016-08,35,31,3,Wednesday,0,1
2016-09-01,20160901,2016,3,Q3 2016,9,September,2016-09,35,1,4,Thursday,0,0
2016-09-02,20160902,2016,3,Q3 2016,9,September,2016-09,35,2,5,Friday,0,0
2016-09-03,20160903,2016,3,Q3 2016,9,September,2016-09,35,3,6,Saturday,1,0
2016-09-04,20160904,2016,3,Q3 2016,9,September,2016-09,35,4,7,Sunday,1,0
2016-09-05,20160905,2016,3,Q3 2016,9,September,2016-09,36,5,1,Monday,0,0
2016-09-06,20160906,2016,3,Q3 2016,9,September,2016-09,36,6,2,Tuesday,0,0
2016-09-07,20160907,2016,3,Q3 2016,9,September,2016-09,36,7,3,Wednesday,0,0
2016-09-08,20160908,2016,3,Q3 2016,9,September,2016-09,36,8,4,Thursday,0,0
2016-09-09,20160909,2016,3,Q3 2016,9,September,2016-09,36,9,5,Friday,0,0
2016-09-10,20160910,2016,3,Q3 2016,9,September,2016-09,36,10,6,Saturday,1,0
2016-09-11,20160911,2016,3,Q3 2016,9,September,2016-09,36,11,7,Sunday,1,0
2016-09-12,20160912,2016,3,Q3 2016,9,September,2016-09,37,12,1,Monday,0,0
2016-09-13,20160913,2016,3,Q3 2016,9,September,2016-09,37,13,2,Tuesday,0,0
2016-09-14,20160914,2016,3,Q3 2016,9,September,2016-09,37,14,3,Wednesday,0,0
2016-09-15,20160915,2016,3,Q3 2016,9,September,2016-09,37,15,4,Thursday,0,0
